#Natural (INST) System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   INSTMAG dMAG   
sn01C
1 52081.44911 18.004 0.048
1 52169.26125 19.354 0.151
2 52047.38868 15.093 0.016
2 52050.45576 15.211 0.016
2 52051.41685 15.247 0.015
2 52053.44095 15.371 0.015
2 52056.34286 15.570 0.015
2 52059.30185 15.822 0.015
2 52075.25802 17.437 0.015
2 52169.26531 18.992 0.038
2 52188.13976 19.373 0.047
3 52047.39117 15.008 0.015
3 52050.45825 15.067 0.011
3 52051.41933 15.097 0.011
3 52053.44343 15.175 0.011
3 52056.34534 15.313 0.013
3 52059.30433 15.440 0.011
3 52075.26053 16.384 0.011
3 52081.45637 16.623 0.015
3 52169.26851 18.594 0.030
3 52188.14225 19.043 0.045
4 52047.39299 14.912 0.015
4 52050.46006 14.967 0.013
4 52051.42111 15.009 0.013
4 52053.44522 15.109 0.013
4 52056.34713 15.237 0.019
4 52059.30611 15.279 0.013
4 52075.26234 15.814 0.014
4 52081.45885 16.096 0.016
4 52169.27101 18.741 0.055
5 52047.39443 15.042 0.020
5 52050.46150 15.111 0.017
5 52051.42257 15.148 0.018
5 52053.44668 15.246 0.023
5 52056.34859 15.322 0.022
5 52059.30757 15.268 0.016
5 52075.26378 15.462 0.024
5 52169.27279 18.360 0.064
sn01cp
2 52102.30186 16.958 0.014
3 52084.39325 16.217 0.015
3 52113.28851 17.294 0.034
3 52113.32006 17.317 0.038
3 52188.10036 19.477 0.058
4 52084.39507 16.069 0.020
4 52113.29030 16.928 0.036
4 52113.32185 16.938 0.027
5 52084.39652 16.135 0.021
5 52113.29176 17.154 0.063
sn01da
1 52109.45175 15.125 0.049
1 52118.37714 16.629 0.054
1 52121.45588 17.198 0.053
1 52197.13816 19.340 0.136
2 52109.45507 15.727 0.023
2 52118.38049 16.421 0.025
2 52164.34997 18.938 0.045
2 52188.19547 19.142 0.059
2 52197.12802 19.253 0.056
3 52109.45756 15.535 0.024
3 52110.39498 15.563 0.026
3 52121.46171 16.102 0.024
3 52164.35314 18.048 0.029
3 52188.19867 18.612 0.039
3 52197.13123 18.775 0.038
4 52109.45940 15.408 0.031
4 52110.39676 15.430 0.032
4 52164.35561 17.677 0.032
4 52188.20117 18.548 0.041
4 52197.13374 18.793 0.043
5 52109.46087 15.736 0.031
5 52110.39821 15.739 0.031
5 52121.46499 16.158 0.032
5 52164.35740 17.616 0.039
5 52197.13588 18.781 0.077
sn01eh
1 52169.32277 16.477 0.063
1 52171.20622 16.639 0.061
1 52172.19707 16.660 0.064
1 52173.21206 16.737 0.062
1 52178.38027 17.190 0.187
1 52193.27749 18.757 0.099
1 52204.23168 19.620 0.193
1 52206.24733 19.750 0.166
1 52221.13888 19.861 0.167
1 52225.12333 20.039 0.208
1 52226.26410 19.808 0.197
1 52257.23285 20.211 0.250
1 52267.22385 20.086 0.202
2 52169.32618 16.822 0.019
2 52170.27199 16.862 0.020
2 52171.20943 16.884 0.020
2 52172.20030 16.915 0.019
2 52173.21528 16.922 0.020
2 52178.38355 17.185 0.020
2 52193.28072 18.544 0.023
2 52196.19568 18.846 0.028
2 52197.16645 18.885 0.033
2 52204.23575 19.247 0.033
2 52206.25137 19.399 0.036
2 52220.14255 19.725 0.109
2 52221.12932 19.810 0.045
2 52222.14861 19.866 0.046
2 52225.12722 19.858 0.048
2 52226.26800 19.820 0.052
2 52257.22329 20.335 0.066
2 52258.13848 20.306 0.076
2 52261.13080 20.441 0.070
2 52267.22778 20.489 0.107
3 52169.32002 16.759 0.022
3 52169.32868 16.777 0.015
3 52170.27449 16.792 0.016
3 52171.21194 16.786 0.015
3 52172.20278 16.803 0.015
3 52173.21777 16.800 0.015
3 52178.38633 16.960 0.015
3 52188.24149 17.570 0.018
3 52193.28323 17.732 0.017
3 52196.19818 17.879 0.019
3 52197.16892 17.943 0.023
3 52204.23892 18.187 0.022
3 52206.25458 18.326 0.021
3 52220.14574 18.788 0.080
3 52221.13264 18.965 0.030
3 52222.15182 18.938 0.028
3 52225.13042 18.965 0.029
3 52226.27118 19.061 0.031
3 52257.22647 19.580 0.046
3 52258.14167 19.521 0.051
3 52266.19079 19.841 0.069
4 52169.33047 16.684 0.022
4 52170.27631 16.701 0.019
4 52171.21373 16.688 0.018
4 52172.20456 16.708 0.019
4 52173.21957 16.697 0.019
4 52178.38821 16.914 0.019
4 52188.24329 17.459 0.021
