Date	Phase	U	UErr	B	BErr	V	VErr	R	RErr	I	IErr	g	gErr	r	rErr	i	iErr	Telescope
2018-02-16.9    +3.2    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.457  0.009     15.152  0.009     LCO  
2018-02-16.9    +3.2    INDEF   INDEF    INDEF   INDEF    14.400  0.104     14.279  0.030     14.608  0.054     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-02-17.2    +3.5    14.230  0.031     14.451  0.016     14.411  0.013     INDEF   INDEF    INDEF   INDEF    14.293  0.002     14.437  0.002     15.127  0.006     LCO  
2018-02-17.2    +3.5    INDEF   INDEF     14.380  0.011     14.279  0.009     INDEF   INDEF    INDEF   INDEF    14.272  0.009     14.367  0.008     15.149  0.010     Swope  
2018-02-17.7    +4.0    INDEF   INDEF    14.400  0.042     14.439  0.013     INDEF   INDEF    INDEF   INDEF    14.293  0.009     14.429  0.013     15.129  0.027     LJT  
2018-02-18.3    +4.6    INDEF   INDEF    14.448  0.029     14.476  0.013     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.453  0.007     15.146  0.016     PONM  
2018-02-18.5    +4.8    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.450  0.002     INDEF   INDEF    PS1  
2018-02-18.8    +5.2    INDEF   INDEF    14.439  0.052     14.424  0.025     14.284  0.029     14.708  0.030     INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    Konkoly  
2018-02-18.9    +5.2    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    INDEF   INDEF    14.487  0.004     15.193  0.009     LCO  
2018-02-19.1    +5.4    14.326  0.027     14.465  0.015     14.455  0.013     INDEF   INDEF    INDEF   INDEF    14.280  0.002     14.489  0.003     15.205  0.008     LCO  
