#Standard System Magnitudes
#filter codes 1,2,3,4,5,13,14 = UBVRIr'i'
#SN
#filter MJD   STDMAG dMAG
sn01C
3 52173.21777 16.796 0.015
3 52178.38633 16.952 0.015
3 52188.24149 17.554 0.018
3 52193.28323 17.704 0.017
3 52196.19818 17.848 0.019
3 52197.16892 17.911 0.023
3 52204.23892 18.151 0.022
3 52206.25458 18.292 0.021
3 52220.14574 18.759 0.080
3 52221.13264 18.936 0.030
3 52222.15182 18.910 0.028
3 52225.13042 18.938 0.029
3 52226.27118 19.034 0.031
3 52257.22647 19.554 0.046
3 52258.14167 19.495 0.051
3 52266.19079 19.815 0.069
4 52169.33047 16.689 0.022
4 52170.27631 16.706 0.019
4 52171.21373 16.692 0.018
4 52172.20456 16.711 0.019
4 52173.21957 16.701 0.019
4 52178.38821 16.909 0.019
4 52188.24329 17.450 0.021
4 52193.28500 17.498 0.021
4 52196.19997 17.535 0.022
4 52197.17071 17.562 0.028
4 52204.24142 17.707 0.023
4 52206.25707 17.830 0.022
4 52221.12829 18.588 0.039
4 52221.13515 18.532 0.031
4 52222.15431 18.561 0.031
4 52225.13291 18.666 0.033
4 52226.27368 18.781 0.054
4 52257.22897 19.534 0.063
4 52261.13648 19.755 0.082
4 52266.19328 19.758 0.101
4 52267.23345 19.732 0.082
5 52169.33192 17.042 0.022
5 52170.27775 17.105 0.026
5 52171.21517 17.148 0.023
5 52172.20602 17.185 0.021
5 52173.22102 17.132 0.022
5 52178.38962 17.400 0.025
5 52188.24473 17.874 0.028
5 52193.28646 17.829 0.026
5 52196.20140 17.790 0.033
5 52204.24322 17.813 0.035
5 52206.25889 17.733 0.027
5 52221.13694 18.592 0.046
5 52222.15610 18.602 0.043
5 52225.13469 18.754 0.047
5 52257.23078 19.879 0.125
5 52261.13828 20.101 0.147
5 52266.19507 20.248 0.203
5 52267.23527 20.279 0.212
sn01en
1 52197.14856 15.461 0.033
1 52206.22347 16.494 0.034
1 52221.12413 18.204 0.049
1 52222.14331 18.272 0.051
1 52225.10766 18.411 0.056
1 52257.20596 18.980 0.077
1 52258.13436 19.161 0.095
1 52266.16265 18.863 0.087
1 52267.20338 18.948 0.082
2 52196.38288 15.384 0.022
2 52197.14399 15.444 0.022
2 52206.22681 16.353 0.020
2 52221.11679 17.979 0.023
2 52222.13318 18.033 0.023
2 52225.11089 18.213 0.024
2 52226.25530 18.310 0.025
2 52257.19640 18.838 0.030
2 52258.12481 18.871 0.033
2 52267.20729 19.002 0.037
3 52196.38434 15.219 0.015
3 52197.14546 15.230 0.015
3 52206.22931 15.740 0.014
3 52221.11927 16.634 0.015
3 52222.13708 16.737 0.016
3 52225.11337 16.972 0.015
3 52226.25779 17.026 0.016
3 52257.19958 17.955 0.020
3 52258.12800 17.950 0.025
3 52267.21046 18.181 0.023
4 52196.38546 15.157 0.019
4 52197.14657 15.182 0.019
4 52206.23113 15.809 0.018
4 52221.12109 16.151 0.019
4 52222.13957 16.241 0.019
4 52225.11516 16.489 0.019
4 52226.25958 16.553 0.019
4 52257.20208 17.697 0.024
4 52258.13049 17.680 0.028
4 52267.21295 17.979 0.031
5 52196.38639 15.523 0.020
5 52197.14750 15.553 0.018
5 52206.23260 16.108 0.019
5 52221.11539 15.866 0.020
5 52221.12253 15.845 0.018
5 52222.14137 15.934 0.018
5 52225.11661 16.196 0.018
5 52226.26103 16.258 0.020
5 52257.20390 17.692 0.035
5 52258.13229 17.795 0.042
5 52266.17405 17.894 0.055
5 52267.21475 17.942 0.047
sn01ep
1 52195.43237 14.891 0.023
1 52197.46390 14.832 0.024
1 52198.30669 14.832 0.021
1 52199.31354 14.827 0.031
1 52205.30618 15.430 0.024
1 52206.37925 15.569 0.036
1 52206.39015 15.565 0.021
1 52221.52928 17.366 0.140
1 52226.34751 17.610 0.216
1 52230.38240 18.122 0.054
1 52234.30244 18.351 0.063
1 52257.31517 18.783 0.085
1 52267.32021 18.992 0.122
2 52196.45727 15.159 0.016
2 52197.45933 15.166 0.055
2 52198.30991 15.085 0.018
2 52199.31675 15.055 0.032
2 52203.34341 15.192 0.016
2 52221.52194 17.270 0.016
2 52226.35073 17.751 0.045
2 52230.38563 17.896 0.018
2 52266.29782 18.595 0.111
3 52195.43807 15.179 0.010
3 52196.45873 15.101 0.013
3 52197.46079 15.034 0.015
3 52198.31240 15.024 0.011
3 52199.31925 14.978 0.013
3 52203.34591 14.972 0.013
3 52205.31189 15.027 0.013
3 52206.39601 15.058 0.013
3 52221.52443 16.002 0.017
3 52227.40660 16.362 0.010
3 52230.38815 16.580 0.017
3 52234.30814 16.804 0.013
3 52257.30878 17.554 0.031
